companyName,location
Same Deutz - Fahr India Pvt. Ltd.,Chennai
Samsung India Software Operations,Bangalore
Samsung Research India,Bangalore
Sanmar Group,Chennai
Sap Labs India Pvt. Ltd.,Bangalore
Satyam Venture Engineering Services,Bangalore
Schneider Electric India Pvt. Ltd.,Bangalore
Shahi Exports Pvt. Ltd.,Bangalore
Shanthi Gears Ltd.,Coimbatore
Shapoorji Pallonji Co. Ltd.,Mumbai
SHV LPG India Pvt. Ltd.,Chennai
Siemens Information Processing Services,Bangalore
Siemens Technology & Services Pvt. Ltd.,Bangalore
Siemens Technology and Services Pvt. Ltd.,Bangalore
Skava Systems Pvt. Ltd.,Coimbatore
Soma Enterprise Ltd.,Hyderabad
Sonata Software Ltd.,Bangalore
Sony India Software Centre Pvt. Ltd.,Bangalore
Sourcebits Technologies,Bangalore
South Indian Bank Ltd.,Trichur
SRF Limited,Gurgaon
Success Factors,Bangalore
Success Factors,Bangalore
Sun Tec Business Solutions,Chennai
Sundaram Fasteners Ltd.,Chennai
Synopsys India Pvt. Ltd.,Hyderabad
Tata Consulting Engineers Ltd.,Bangalore
Tata Consultancy Services Ltd.,Chennai
Tata Motors Limited,Mumbai
Tata Steel Limited,Jamshedpur
Tata Technologies Ltd.,Pune
The Tata Power Company Ltd.,Mumbai
Thermax India Ltd.,Pune
Thorogood Associates,Bangalore
ThoughtWorks Technologies (I) Pvt. Ltd.,Bangalore
Titan Industries Ltd.,Hosur
Tommy Hilfiger,Cochin
Torry Harris Business Solutions,Bangalore
Toshiba Machine Pvt. Ltd.,Chennai
Tractors and Farm Equipment Ltd.,Chennai
Triad Software Pvt. Ltd.,Chennai
Trimble Technologies,Bangalore
TVS Motor Company Ltd.,Hosur
Ugam Solutions,Coimbatore
Unisys Global Service Pvt. Ltd.,Bangalore
URC Construction Pvt. Ltd.,Erode
UTC Aerospace Systems,Bangalore
Vardhman Textiles Limited,Himachal Pradesh
Vedanta Resources Plc.,Tuticorin
Voith Paper Fabrics India Ltd.,Faridabad
Voltas Limited,Mumbai
Volvo India Pvt. Ltd.,Bangalore
Windcare India Ltd.,Udumalpet
Wipro GE Healthcare Pvt. Ltd.,Bangalore
Wipro Technologies,Bangalore
Yahoo! Software Development (I) Pvt. Ltd.,Bangalore
ZF Wind Power Ltd.,Coimbatore
